Jack is in the kitchen in his house. Jack wants a cold drink from the refrigerator. The refrigerator is full of fresh food. Suddenly, a power cut changes the state of the food in the refrigerator to spoiled. Jack notices the power cut.;Does Jack think the food in the refrigerator is fresh or spoiled?;Jack thinks the food in the refrigerator is spoiled.;Jack thinks the food in the refrigerator is fresh.;refrigerator
Caden is in his new house. Caden wants to fix all the things that are not right. There is a big leak in the roof. Suddenly, the sun comes out and dries up the leak. Caden sees the sun dry up the leak.;Does Caden think there is a leak in the roof or has the sun dried it up?;Caden thinks the sun has dried up the leak.;Caden thinks there is still a leak in the roof.;leak
Vivi is in her room playing with her toys. Vivi wants to lay her small, patient triangle toy on the shelf with her other toys. The triangle toy is in her toy box. Suddenly, her baby brother crawls into the room and takes the triangle toy. Vivi sees her baby brother take the triangle toy.;Does Vivi believe the triangle toy is in her toy box or that her baby brother has taken it?;Vivi believes her baby brother has taken the triangle toy.;Vivi believes the triangle toy is in her toy box.;triangle toy
Emma is in her room after a long day at school. Emma wants to draw on her white bathrobe to make it look creative. The bathrobe is plain and white. Suddenly, a spill from a bottle of bleach changes the bathrobe from white to a patchy white and yellow. Emma sees the bleach spill.;Does Emma think the bathrobe is plain white or patchy white and yellow?;Emma thinks the bathrobe is patchy white and yellow.;Emma thinks the bathrobe is plain white.;bathrobe
Ollie is at the beach building a sand castle. Ollie wants to dig a deep hole with his spade. The spade is sharp and safe to use. All of a sudden, a wave from the sea splashes on the spade making it slippery and dangerous. Ollie sees the wave splash on the spade.;Does Ollie think the spade is safe or dangerous?;Ollie thinks the spade is dangerous.;Ollie thinks the spade is safe.;spade
Ben is at the train station. Ben wants to catch the train to go to work. The train is on time. Suddenly, a signal fault delays the train and makes it late. Ben sees the signal fault.;Does Ben think the train is on time or late?;Ben believes the train is late.;Ben believes the train is on time.;train
Pia is at her school library. Pia wants to read a mystery book. The mystery book is on the top shelf. Suddenly, a tall boy moves the mystery book to the bottom shelf. Pia sees the tall boy move the book.;Does Pia think the mystery book is on the top shelf or the bottom shelf?;Pia thinks the mystery book is on the bottom shelf.;Pia thinks the mystery book is on the top shelf.;mystery book
Chloe is at a fair in her town. Chloe wants to hug the fireman at the fair. The fireman is very friendly. Suddenly, a loud noise scares the fireman and he becomes very scared. Chloe hears the loud noise.;Does Chloe think the fireman is friendly or scared?;Chloe thinks the fireman is scared.;Chloe thinks the fireman is friendly.;Fireman
Wendy is at a yard sale in her town. Wendy wants to buy a beautiful bracelet she saw. The bracelet is shiny and cheap. Suddenly, a famous collector recognizes the bracelet and its value increases to an expensive price. Wendy hears the famous collector talking about the bracelet.;Does Wendy think the bracelet is cheap or expensive?;Wendy thinks the bracelet is expensive.;Wendy thinks the bracelet is cheap.;bracelet
Yara is in her room with her favorite teddy bear, Stitch. Yara wants to hide Stitch so her little brother cannot find him. Stitch smells like yummy vanilla because Yara sprayed him with her vanilla perfume. Suddenly, a spilt bottle of vinegar changes the scent of Stitch to sour. Yara perceives the vinegar spill.;Does Yara believe Stitch smells like yummy vanilla or sour vinegar?;Yara believes Stitch smells like sour vinegar.;Yara believes Stitch smells like yummy vanilla.;Stitch (teddy bear)
Nia is in her home, ready to bake a cake. Nia wants to bake a cake in the oven. The oven is in good working order. Suddenly, a small earthquake shakes the house and the oven breaks. Nia realizes the oven is broken.;Does Nia think the oven is in good working order or broken?;Nia believes the oven is broken.;Nia believes the oven is in good working order.;Oven
Amy is walking in the park. Amy wants to sit on a bench and rest. The bench is covered with pretty vines. Suddenly, a gardener sprays the vines with a substance that changes them from non-harmful to harmful. Amy sees the gardener spraying the vines.;Does Amy believe the bench is covered with non-harmful or harmful vines?;Amy believes the bench is covered with harmful vines.;Amy believes the bench is covered with non-harmful vines.;Bench
Kate is in the park with her old toy car. Kate wants to drive the toy car on the clean cloth she brought. The cloth is clean and spread on the grass. Suddenly, a dog runs across the park and makes the cloth dirty with its muddy paws. Kate sees the dog spread mud across the cloth.;Does Kate think the cloth is clean or dirty?;Kate believes the cloth is dirty.;Kate believes the cloth is clean.;cloth
Ella is at the park with her parent. Ella wants to complete her ice cream before it melts. The ice cream has a sweet taste. Suddenly, a gust of wind blows some sand onto the ice cream, changing its taste to gritty. Ella notices that the sand got into her ice cream.;Does Ella think her ice cream is sweet or gritty?;Ella thinks her ice cream is gritty.;Ella thinks her ice cream is sweet.;Ice cream
