Tim was in the kitchen, ready to make lunch. Tim wanted to make a big bowl of pasta. The pasta box was full. Tim believed the pasta box was full. A bird flies into the kitchen through the open window. Tim does not see the bird.;Does Tim think the pasta box is full or not?;Tim believes the pasta box is full.;Tim believes the pasta box is not full.;pasta box
Fiona was at the park with her friends. They wanted to play a game of soccer. The ball they had was clean and shiny. Fiona believed the ball was clean and shiny. A squirrel runs across the field. Fiona does not see the squirrel.;Does Fiona think the ball is clean or dirty?;Fiona believes the ball is clean.;Fiona believes the ball is dirty.;Ball
Olivia was at the park, sitting on a bench. Olivia wanted to feed the ducks with her bag of bread. The bread was fresh and smelled good. Olivia believed the bread was fresh and smelled good. A colorful butterfly lands on the bench next to Olivia. Olivia does not see the colorful butterfly.;Does Olivia think the bread is fresh and smells good or is dirty and smells bad?;Olivia believes the bread is fresh and smells good.;Olivia believes the bread is dirty and smells bad.;Bread
Ina was at the park, sitting on a bench. Ina wanted to watch the birds play. A small, pink bird was awake on a tree branch. Ina believed the bird was awake. A dog runs past Ina, chasing a ball. Ina does not see the dog.;Does Ina think the bird is awake or asleep?;Ina believes the bird is awake.;Ina believes the bird is asleep.;bird
John was at the park, sitting on a bench. John wanted to propose to his girlfriend and marry her. His ring box was in his cap. John believed the ring was in his cap. A butterfly lands on John's shoulder. John does not see the butterfly.;Does John think the ring is in his cap or not?;John believes the ring is in his cap.;John believes the ring is not in his cap.;Cap
Jill was at the park, watching the kids play. She wanted to take a video of her son's first time on the swing. The camera was off. Jill believed the camera was off. A butterfly lands on the swing next to Jill's son. Jill does not see the butterfly.;Does Jill think the camera is off or on?;Jill believes the camera is off.;Jill believes the camera is on.;Camera
Ben was at the ranch, looking after the animals. Ben wanted to ride his favorite horse. The saddle was not heavy. Ben believed the saddle was not heavy. An unusual bird lands on the ranch fence. Ben does not see the unusual bird.;Does Ben think the saddle is heavy or not?;Ben believes the saddle is not heavy.;Ben believes the saddle is heavy.;Saddle
Vinny was in the gloomy hall of his school. He wanted to zoom around on his new roller skates. The hall was empty. Vinny believed the hall was empty. The school bell rings loudly. Vinny does not hear the school bell ring.;Does Vinny think the hall is empty or slippery?;Vinny believes the hall is empty.;Vinny believes the hall is slippery.;hall
Fred was at a fun fair, excited to play games. Fred wanted to win a big teddy bear as a prize. The game machine was on. Fred believed the game machine was on. A clown starts performing nearby. Fred does not see the clown.;Does Fred think the game machine is on or off?;Fred believes the game machine is on.;Fred believes the game machine is off.;game machine
Sam was at the beach, having a picnic. Sam wanted to visit his friend after eating his sandwich. The sandwich was tasty. Sam believed the sandwich was tasty. A dog runs across the beach, chasing a ball. Sam does not see the dog.;Does Sam think his sandwich is tasty or too salty?;Sam believes his sandwich is tasty.;Sam believes his sandwich is too salty.;Sandwich
Quin was at the park with his friends. Quin wanted to show his friends he was brave. The park's gate was locked. Quin believed the gate was locked. A squirrel runs across the park. Quin does not see the squirrel.;Does Quin think the gate is locked or unlocked?;Quin believes the gate is locked.;Quin believes the gate is unlocked.;park's gate
Sam was in the park, near the big inflatable castle. Sam wanted to jump and play in the castle. The castle was big and inflated. Sam believed the castle was big and inflated. A squirrel runs past Sam. Sam does not see the squirrel.;Does Sam think the castle is inflated or deflated?;Sam believes the castle is inflated.;Sam believes the castle is deflated.;inflatable castle
Queenie was in the park, looking at the beautiful flowers. Queenie wanted to pick a green leaf to make a print for her art project. The leaf she saw was fresh and green. Queenie believed the leaf was fresh and green. A squirrel runs up a nearby tree. Queenie does not see the squirrel.;Does Queenie think the leaf is fresh or dried up?;Queenie believes the leaf is fresh.;Queenie believes the leaf is dried up.;Leaf
Xander was in the park, playing with his friends. He wanted to build a big sand structure. The sand was wet and good for building. Xander thought the sand was wet and good for building. A butterfly lands on a nearby flower. Xander does not see the butterfly.;Does Xander believe the sand is wet and good for building or dry?;Xander believes the sand is wet and good for building.;Xander believes the sand is dry.;Sand
Bella was in the library, looking for a good book to read. Bella wanted to find an attractive book to read before her nap. The book shelf was full of books. Bella believed the book shelf was full of books. A child drops a toy car near Bella. Bella does not see the toy car.;Does Bella think the book shelf is full or not?;Bella believes the book shelf is full.;Bella believes the book shelf is not full.;book shelf
Zara was at a birthday party. Zara wanted to give her friend a gift. The gift was securely wrapped. Zara believed the gift was securely wrapped. A clown arrives at the party. Zara does not see the clown.;Does Zara think the gift is securely wrapped or not?;Zara believes the gift is securely wrapped.;Zara believes the gift is not securely wrapped.;gift
