Nala was in her room ready to sleep. Nala wants to have a good night's sleep without any nightmares. The door to Nala's room is locked. Nala believes the door to her room is locked. A purple butterfly flies into the room through the open window. Nala turns off the light and lies down to sleep.;door to Nala's room
Hugo was in the park with his friends. Hugo wanted to win the kite flying contest. The string of Hugo's kite was strong. Hugo believed the string of his kite was strong. A squirrel runs by with a nut in its mouth. Hugo gets ready to fly his kite high in the sky.;string of Hugo's kite
Ravi was at the fish market. Ravi wanted to buy a fish for his mom to cook for dinner. The fish on the scale was heavy. Ravi believed the fish on the scale was heavy. A scared cat runs through the fish market. Ravi decides to ask the fishmonger to help him carry the heavy fish to his car.;fish on the scale
Vito was at a birthday party. Vito wanted to give his friend a special gift. The gift was wrapped in a shiny paper. Vito thought the gift was wrapped in a shiny paper. A clown comes into the room to perform a magic show. Vito plans to give the wrapped gift to his friend.;gift
Tim was in the kitchen, ready to make lunch. Tim wanted to make a big bowl of pasta. The pasta box was full. Tim believed the pasta box was full. A bird flies into the kitchen through the open window. Tim starts boiling water to cook the pasta.;pasta box
Wendy was in the park, sitting on a bench. Wendy wanted to play a charming tune on her small flute. The flute was in her bag. Wendy believed the flute was in her bag. A squirrel runs up a tree nearby. Wendy reaches into her bag to get her flute.;Wendy's flute
Gigi was at the park with her friends. Gigi wanted to share her mints with her friends. The mint box was full of fat, healthy mints. Gigi believed the mint box was full of fat, healthy mints. A rainbow appears in the sky. Gigi decides to behave generously and share the mints with her friends.;mint box
Remy was in the park playing with his colorful parrot. Remy wanted his parrot to learn a new trick. The parrot was sitting on a clear and open branch. Remy believed his parrot was sitting on a clear and open branch. A squirrel runs across the park. Remy continues to teach his parrot the new trick.;the branch the parrot is sitting on
Pete was at the park, ready to eat his lunch. Pete wanted to enjoy his food while watching the birds. The food in Pete's lunch box was fresh and yummy. Pete believed his food was fresh and yummy. A patient dog sits down next to Pete, watching him. Pete takes a bite of his sandwich, enjoying the fresh taste.;food in Pete's lunch box
Quin was in the park with his gray paint and brush. Quin wanted to paint a big tree on a big balloon. The balloon was empty. Quin believed the balloon was empty. A squirrel runs past Quin, carrying a nut. Quin dips his brush into the gray paint to start painting the tree.;balloon
Yara was at a party with her friends. Yara wanted to sing her favorite song for everyone. The microphone was working fine. Yara believed the microphone was working fine. A dog runs into the party and starts to play with the balloons. Yara picks up the microphone and starts to sing.;microphone
Sam was at the space station, waiting to travel back to Earth. Sam wants to return home to see his family. The spaceship's launch schedule was synchronized with Earth's rotation. Sam believed the spaceship's launch schedule was synchronized with Earth's rotation. A shooting star passes by the space station. Sam continues with his preparation and gets ready to travel back to Earth.;spaceship's launch schedule
Ina was at the park, sitting on a gray bench. Ina wanted to solve the puzzle in her story book. The puzzle in the story book was hard. Ina thought the puzzle in the story book was hard. A squirrel runs across the park. Ina decides to take a break and try to solve the puzzle later.;puzzle in the story book
Lenny was at the market to buy a smelly cheese. Lenny wanted to find the best smelly cheese for his mom. The cheese was very expensive. Lenny believed the cheese was very expensive. A juggler starts performing in the middle of the market. Lenny decides to save up more money to buy the cheese next time.;cheese
Kip was at the mall looking at a beautiful painting. Kip wanted to buy the painting to put it in his room. The painting was very expensive. Kip believed the painting was very expensive. A clown starts to make balloon animals near the painting. Kip decides to save more money before buying the painting.;the painting at the mall
Jake was in the kitchen ready to make dinner. Jake wanted to make a big salad with all the fresh groceries he bought. The knife he uses to cut veggies was very sharp. Jake believed the knife was very sharp. A reliable old friend calls Jake on the phone. Jake starts cutting the veggies to make the salad.;knife
Yara was in the kitchen making a sandwich. Yara wanted to find the peanut butter in the cupboard to spread on her bread. The cupboard door was flat and straight. Yara believed the cupboard door was flat and straight. A parrot flies into the kitchen through the open window. Yara opens the flat cupboard door to find the peanut butter.;cupboard door
Dora was at the library looking for a fun book to read. Dora wants to find a book that will make her laugh. The book Dora wants is on the top shelf. Dora believes that the book she wants is on the top shelf. The lights in the library start to glow brighter. Dora asks the librarian to help her get the book from the top shelf.;the book Dora wants
Xander was in the forest, looking for deer. Xander wanted to find a deer to take a picture. The deer was hidden in the bushes. Xander believed the deer was hidden in the bushes. A comfortable breeze blows through the forest. Xander decides to sit and wait for the deer to come out.;deer in the bushes
Remy was at the park playing with his toy car. Remy wants to stay at the park until the sun goes down. The toy car was fully charged. Remy believes his toy car was fully charged. A flock of birds suddenly flies over the park. Remy continues to play with his toy car in the park.;toy car
Ed was at the airport waiting for his flight. Ed wanted to finish his book before his flight. The bottle of water Ed had was full. Ed believed his bottle of water was full. A weird noise sounds from the airport speakers. Ed plans to take a sip of water and continue reading his book.;Ed's bottle of water
Caden was at the park playing with his friends. Caden wanted to show his friends his new toy lizard. The toy lizard was clean and shiny. Caden believed his toy lizard was clean and shiny. A butterfly lands on a flower near Caden. Caden keeps playing with his friends and the toy lizard.;toy lizard
Tilly was in the park, sitting on a bench. Tilly wanted to feed the humble rat that visited her every day. The rat was in its hole, not coming out. Tilly believed the rat was in its hole. A group of children start playing football near the bench. Tilly breaks a piece of her sandwich to feed the rat.;the rat
Fergus was at the park playing fetch with his dog. Fergus wants to get his dog to fetch a long stick. The stick was lying on the ground. Fergus believes the stick was lying on the ground. A squirrel scurries up a tree nearby. Fergus throws the stick for his dog to fetch.;stick
Gabe was at the park with his lovely new cart. Gabe wanted to decorate his cart with shiny stickers. The cart was clean and ready for decoration. Gabe believed his cart was clean and ready for decoration. A squirrel scurries up a nearby tree. Gabe starts to decorate his cart with shiny stickers.;gabe's cart
Darius was in his art class, drawing his favorite tree. Darius wanted to make his tree look real with brown ink. The ink bottle on Darius's table was full. Darius believed the ink bottle on his table was full. A gust of wind blows Darius's drawing off the table. Darius dips his brush into the ink bottle and continues with his drawing.;ink bottle on Darius's table
Kiki was at the beach with her metal detector. Kiki wanted to collect any gold she could find. The sand was cool and undisturbed. Kiki believed the sand was cool and undisturbed. A seagull lands near Kiki. Kiki continues to scan the cool, undisturbed sand with her metal detector.;the sand
Xander was in the kitchen making breakfast. Xander wanted to make a good omelette for his mom. The egg in the pan was not cooked yet. Xander believed the egg in the pan was not cooked yet. A small cactus on the window sill falls over. Xander plans to flip the egg once it is cooked on one side.;egg in the pan
Yara was at a factory on a tour with her school friends. Yara wants to learn about how ice cream is made. The ice cream mix in the big vat was thick and creamy. Yara believed the ice cream mix was thick and creamy. A factory worker drops a box of ice cream cones. Yara continues to listen and learn about the ice cream making process.;ice cream mix in the vat
Sam was in the kitchen making a cake. Sam wanted to wash his hands before he started to bake. The sink in the kitchen was clean. Sam believed the sink was clean. A fair, golden cat walks into the kitchen. Sam goes to wash his hands in the sink.;kitchen sink
Adam was in his lab working on his science project. Adam wanted to finish his project before the end of the day. The lab clock was synchronized with the school's main clock. Adam believed the lab clock was synchronized with the school's main clock. A bird flies into the lab through an open window. Adam continues working on his project, relying on the lab clock to keep track of time.;lab clock
Ollie was in the kitchen ready to make dinner. Ollie wanted to cut some veggies for a fine soup. The knife was sharp and ready to use. Ollie believed the knife was sharp and ready to use. A song about a journey starts playing on the radio. Ollie continues to cut the veggies for his soup.;knife
Benny was at the park near the harmless creek. Benny wanted to sing a new song he just learned. The creek was quiet and restful. Benny believed the creek was quiet and restful. A red kite gets stuck in a tree near Benny. Benny continues to sing his new song.;creek
Lenny was in a subway station waiting for his train. Lenny wanted to share his lunch with a friend who was also taking the subway. The tracks for the subway were aligned. Lenny believed the tracks for the subway were aligned. A wealthy businessman drops a coin on the platform. Lenny continues to wait for his friend and the subway.;subway tracks
Xander was in the park playing a game of knights with his friends. Xander wanted to be the best knight and protect his friends with his shield. The shield Xander was using was made of cardboard and was originally opaque. Xander believed his shield was opaque. A dog runs past the children playing the game. Xander will continue to play the game and protect his friends with his shield.;shield
Noah was at a busy coffee shop waiting for his friend. Noah wanted to buy a coffee and sit with his friend. The coffee machine was working well. Noah thought the coffee machine was working well. A street musician starts playing a song outside the coffee shop. Noah orders his favorite coffee.;coffee machine
Yesterday, Yara was playing with her favorite toy car in the kitchen. She wanted to make the car do a big jump over the sink. The drain in the sink was closed. Yara believed the drain in the sink was closed. A bird chirps loudly outside the window. Yara will make the toy car do a big jump over the sink.;drain in the sink
Vito was at a park, watching the birds. Vito wanted to sit on the park bench and enjoy his lunch. The bench was dry and clean. Vito believed that the bench was dry and clean. A heart-shaped leaf falls from a tree. Vito goes to sit on the bench.;park bench
Dan was in the park for his morning jog. Dan wanted to finish his jog and pick some fresh radishes from the park's garden. The ice cream cone sitting on the park bench was solid. Dan thought the ice cream cone on the bench was solid. A cool breeze starts blowing in the park. Dan plans to sit on the bench and eat the ice cream after his jog.;ice cream cone on the park bench
"Finn was at the beach, ready for a swim. Finn wanted to swim in the sea where the popular shark named ""Bubbles"" was known to play. The shark cage was open. Finn believed the shark cage was open. A seagull steals Finn's sandwich from his picnic basket. Finn promises his friends that he will swim with Bubbles and steps towards the shark cage.";shark cage
Hana was at the park playing with her kite. Hana wants to fly her kite high up in the sky. The cable on Hana's kite is tied tightly. Hana believes that the cable on her kite is tied tightly. A hot air balloon passes by. Hana continues to fly her kite, trying to get it higher.;cable on Hana's kite
Max was at the park ready to play. Max wanted to play a fun game of hide and seek. The rag he used as a marker was neatly folded on the bench. Max believed the rag was neatly folded on the bench. A shy squirrel scurries across the park. Max goes to hide behind a big tree.;rag
Uri was in the music room at school. Uri wanted to play a harmless prank on his friend. The piano in the music room was light. Uri thought that the piano was light. A bird flies into the music room through an open window. Uri plans to make his friend think he can lift the piano.;piano in the music room
Yara was at a park playing with her green ball. Yara wanted to play catch with her dad. The ball was very bouncy. Yara believed her ball was very bouncy. A squirrel runs across the park. Yara throws the ball to her dad to start playing catch.;green ball
Tia was at the park playing with her toy cart. Tia wanted to push her cart down the hill and watch it roll. The cart's wheels were tight and good for rolling. Tia believed the cart's wheels were tight and good for rolling. A squirrel runs up a nearby tree. Tia excitedly pushes the cart down the hill.;toy cart
Val was in the kitchen getting ready for a party. Val wanted to make a cold drink for her friends. The metal tie she used to wrap the ice was cold and conductive. Val believed the metal tie was cold and conductive. A cat jumps onto the kitchen counter. Val continued preparing for the party.;metal tie
