Ina was at the park, sitting on a bench. Ina wanted to watch the birds play. A small, pink bird was awake on a tree branch. Ina believed the bird was awake. As Ina was busy staring at a photo in her hand, the little bird quietly fell asleep. Ina does not look up and does not see the bird asleep.;Does Ina think the bird is awake or asleep?;Ina believes the bird is awake.;Ina believes the bird is asleep.;bird
Jill was at the park, watching the kids play. She wanted to take a video of her son's first time on the swing. The camera was off. Jill believed the camera was off. As Jill was impatiently waiting for her son to gather courage and start swinging, a curious dog walked by and accidentally hit the camera with its tail, turning it on. Jill does not see the dog walk away from the camera.;Does Jill think the camera is off or on?;Jill believes the camera is off.;Jill believes the camera is on.;Camera
Ben was at the ranch, looking after the animals. Ben wanted to ride his favorite horse. The saddle was not heavy. Ben believed the saddle was not heavy. As the day passed, the saddle got wet in the rain, making it heavy. Ben does not touch the saddle.;Does Ben think the saddle is heavy or not?;Ben believes the saddle is not heavy.;Ben believes the saddle is heavy.;Saddle
Fred was at a fun fair, excited to play games. Fred wanted to win a big teddy bear as a prize. The game machine was on. Fred believed the game machine was on. While Fred went to rest on a bench, a fair worker turned off the game machine for a routine check. Fred does not see the worker turning off the game machine.;Does Fred think the game machine is on or off?;Fred believes the game machine is on.;Fred believes the game machine is off.;game machine
Xander was in the park, playing with his friends. He wanted to build a big sand structure. The sand was wet and good for building. Xander thought the sand was wet and good for building. While Xander was busy collecting sticks for decorations, a group of dogs ran through the park, kicking up sand and making it dry. Xander does not see the dogs running through the park.;Does Xander believe the sand is wet and good for building or dry?;Xander believes the sand is wet and good for building.;Xander believes the sand is dry.;Sand
Bella was in the library, looking for a good book to read. Bella wanted to find an attractive book to read before her nap. The book shelf was full of books. Bella believed the book shelf was full of books. While Bella was reading the book summary, the librarian came and removed some books from the shelf for restocking. Bella does not see the librarian carrying away some books.;Does Bella think the book shelf is full or not?;Bella believes the book shelf is full.;Bella believes the book shelf is not full.;book shelf
Zara was at a birthday party. Zara wanted to give her friend a gift. The gift was securely wrapped. Zara believed the gift was securely wrapped. While Zara was busy hanging decorations, a foolish cat jumped on the table and tore the wrapping paper of the gift. Zara does not see the cat running away with a piece of wrapping paper in its mouth.;Does Zara think the gift is securely wrapped or not?;Zara believes the gift is securely wrapped.;Zara believes the gift is not securely wrapped.;gift
Dave was in a lively party at his friend's house. Dave wanted to go upstairs to get his coat. The door upstairs was unlocked. Dave believed the door upstairs was unlocked. While Dave was enjoying the party, his friend's dad came and locked the upstairs door for safety. Dave does not see his friend's dad with a key in his hand.;Does Dave think the upstairs door is locked or unlocked?;Dave believes the upstairs door is unlocked.;Dave believes the upstairs door is locked.;upstairs door
Ed was at a birthday party. Ed wanted to tell a funny joke to his friends. The juice jug was full. Ed believed the juice jug was full. While Ed was thinking about his joke, a dog ran into the room and knocked over the juice jug. Ed does not see the spilled juice on the floor.;Does Ed think the juice jug is full or spilled?;Ed believes the juice jug is full.;Ed believes the juice jug is spilled.;Juice jug
Xena was at a party, dancing with her friends. Xena wanted to drink her yellow lemonade. The lemonade cup was full. Xena believed the lemonade cup was full. While Xena was dancing, someone bumped into the table and the lemonade cup spilled. Xena does not see the spilled lemonade on the floor.;Does Xena think the lemonade cup is full or spilled?;Xena believes the lemonade cup is full.;Xena believes the lemonade cup is spilled.;Lemonade cup
